,日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
123,2015/02/18,陽明,PM2.5,5,2,8,30,33,36,26,21,36,39,43,44,42,35,28,23,25,23,20,18,18,5,9,20
124,2015/02/19,陽明,PM2.5,24,24,29,35,29,24,24,23,21,19,20,21,21,19,19,19,16,17,8,8,9,7,7,6
125,2015/02/20,陽明,PM2.5,9,8,8,12,12,9,12,14,8,10,9,10,21,29,29,9,16,18,16,19,24,13,12,11
126,2015/02/21,陽明,PM2.5,6,6,8,5,10,18,24,24,28,23,29,29,20,18,24,25,22,29,26,29,33,32,32,22
127,2015/02/22,陽明,PM2.5,14,13,12,12,14,17,18,18,18,14,14,8,8,10,9,2,1,1,0,1,0,0,0,0
128,2015/02/23,陽明,PM2.5,4,5,4,5,2,4,9,20,13,22,14,4,14,16,11,4,0,0,2,2,2,8,1,4
129,2015/02/24,陽明,PM2.5,2,1,1,9,10,6,7,0,6,1,18,14,5,5,5,1,1,12,8,5,6,11,4,2
130,2015/02/25,陽明,PM2.5,5,6,7,6,6,6,8,16,18,10,24,26,23,16,12,13,19,21,18,19,21,16,16,20
131,2015/02/26,陽明,PM2.5,20,23,14,6,4,5,4,7,19,25,25,14,14,7,5,1,13,12,11,1,0,0,0,0
132,2015/02/27,陽明,PM2.5,0,0,0,0,2,1,4,1,5,10,2,6,7,7,6,9,8,1,11,11,0,11,10,9
133,2015/02/28,陽明,PM2.5,9,0,0,0,0,1,5,20,12,9,4,11,13,14,12,14,16,19,8,17,7,9,10,9
134,2015/03/01,陽明,PM2.5,2,9,9,9,10,10,0,4,4,0,14,0,0,0,0,2,0,1,1,4,7,2,4,4
135,2015/03/02,陽明,PM2.5,8,7,4,4,5,5,7,8,8,8,11,12,9,7,6,6,5,8,9,9,6,6,6,13
136,2015/03/03,陽明,PM2.5,24,38,24,18,20,11,16,21,23,25,13,17,14,13,32,41,31,20,23,8,5,0,0,0
137,2015/03/04,陽明,PM2.5,0,5,4,4,4,6,4,8,4,2,2,1,0,5,4,0,0,0,0,0,0,0,0,0
138,2015/03/05,陽明,PM2.5,0,0,0,0,0,0,1,2,25,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0
139,2015/03/06,陽明,PM2.5,0,0,0,0,0,1,0,1,0,1,2,18,0,1,0,2,1,0,0,1,0,1,0,0
140,2015/03/07,陽明,PM2.5,1,0,1,0,0,2,0,2,8,5,4,5,6,5,1,1,2,1,1,2,4,1,1,2
141,2015/03/08,陽明,PM2.5,4,5,5,2,4,4,2,2,7,1,2,4,13,11,13,13,16,13,10,12,14,14,14,13
142,2015/03/09,陽明,PM2.5,14,13,14,16,16,18,13,4,6,4,2,4,14,18,17,11,12,9,8,9,9,11,13,16
143,2015/03/10,陽明,PM2.5,23,21,21,14,14,20,26,20,9,10,14,17,12,9,4,5,2,4,4,5,2,1,1,2
144,2015/03/11,陽明,PM2.5,0,1,0,0,1,2,1,2,2,1,1,0,0,0,0,1,1,0,1,2,1,1,0,1
145,2015/03/12,陽明,PM2.5,0,0,2,0,1,1,1,1,2,1,1,0,0,13,13,6,6,8,6,5,4,4,5,5
146,2015/03/13,陽明,PM2.5,5,4,4,2,4,4,5,7,5,5,7,11,9,8,17,19,19,17,10,5,7,6,4,4
147,2015/03/14,陽明,PM2.5,16,20,19,19,22,29,32,41,19,8,17,16,22,20,14,23,29,28,30,38,43,21,16,14
148,2015/03/15,陽明,PM2.5,6,8,9,9,11,29,28,38,20,16,13,17,29,20,18,21,23,21,29,33,21,25,28,30
149,2015/03/16,陽明,PM2.5,29,21,25,25,26,26,23,26,19,16,13,19,24,28,33,36,42,32,30,31,32,33,34,36
150,2015/03/17,陽明,PM2.5,36,32,30,29,29,28,30,32,33,34,34,31,14,32,33,44,45,13,7,9,9,11,14,17
151,2015/03/18,陽明,PM2.5,22,28,23,8,5,7,12,21,24,22,16,26,16,24,39,37,36,25,20,14,19,30,32,21
152,2015/03/19,陽明,PM2.5,22,23,18,11,13,13,14,16,21,20,25,33,23,23,24,20,28,23,22,30,25,20,14,7
153,2015/03/20,陽明,PM2.5,2,2,4,6,14,11,6,11,21,24,24,29,20,22,37,34,32,32,25,16,11,11,5,5
154,2015/03/21,陽明,PM2.5,13,8,16,1,20,17,13,18,12,1,1,2,1,0,0,0,1,1,1,1,0,0,2,4
155,2015/03/22,陽明,PM2.5,2,4,4,1,4,1,7,10,12,22,35,38,36,34,33,32,33,42,41,43,48,41,32,28
